label,precision,recall,f1-score,support,dataset,model
0,0.81,0.98,0.89,7541,train,baseline
1,0.94,0.57,0.71,3946,train,baseline
accuracy,,,0.84,11487,train,baseline
macro avg,0.88,0.78,0.8,11487,train,baseline
weighted avg,0.86,0.84,0.83,11487,train,baseline
0,0.73,0.97,0.83,2075,validation,baseline
1,0.87,0.37,0.52,1182,validation,baseline
accuracy,,,0.75,3257,validation,baseline
macro avg,0.8,0.67,0.68,3257,validation,baseline
weighted avg,0.78,0.75,0.72,3257,validation,baseline
0,0.75,0.97,0.85,1687,test,baseline
1,0.89,0.4,0.55,913,test,baseline
accuracy,,,0.77,2600,test,baseline
macro avg,0.82,0.69,0.7,2600,test,baseline
weighted avg,0.8,0.77,0.74,2600,test,baseline
0,0.67,0.98,0.8,7541,train,knn
1,0.7,0.09,0.15,3946,train,knn
accuracy,,,0.67,11487,train,knn
macro avg,0.69,0.53,0.48,11487,train,knn
weighted avg,0.68,0.67,0.58,11487,train,knn
0,0.64,0.98,0.77,2075,validation,knn
1,0.43,0.03,0.06,1182,validation,knn
accuracy,,,0.63,3257,validation,knn
macro avg,0.53,0.5,0.42,3257,validation,knn
weighted avg,0.56,0.63,0.51,3257,validation,knn
0,0.65,0.97,0.78,1687,test,knn
1,0.47,0.05,0.09,913,test,knn
accuracy,,,0.65,2600,test,knn
macro avg,0.56,0.51,0.44,2600,test,knn
weighted avg,0.59,0.65,0.54,2600,test,knn
0,0.67,1.0,0.8,7541,train,mnb
1,0.98,0.07,0.13,3946,train,mnb
accuracy,,,0.68,11487,train,mnb
macro avg,0.82,0.54,0.47,11487,train,mnb
weighted avg,0.78,0.68,0.57,11487,train,mnb
0,0.65,1.0,0.79,2075,validation,mnb
1,0.95,0.05,0.09,1182,validation,mnb
accuracy,,,0.65,3257,validation,mnb
macro avg,0.8,0.52,0.44,3257,validation,mnb
weighted avg,0.76,0.65,0.53,3257,validation,mnb
0,0.65,1.0,0.79,1687,test,mnb
1,1.0,0.02,0.04,913,test,mnb
accuracy,,,0.66,2600,test,mnb
macro avg,0.83,0.51,0.41,2600,test,mnb
weighted avg,0.78,0.66,0.53,2600,test,mnb
0,0.82,0.95,0.88,7541,train,grid_mnb
1,0.87,0.61,0.72,3946,train,grid_mnb
accuracy,,,0.84,11487,train,grid_mnb
macro avg,0.85,0.78,0.8,11487,train,grid_mnb
weighted avg,0.84,0.84,0.83,11487,train,grid_mnb
0,0.74,0.97,0.84,2075,validation,grid_mnb
1,0.87,0.4,0.55,1182,validation,grid_mnb
accuracy,,,0.76,3257,validation,grid_mnb
macro avg,0.8,0.68,0.69,3257,validation,grid_mnb
weighted avg,0.79,0.76,0.73,3257,validation,grid_mnb
0,0.73,0.97,0.84,1687,test,grid_mnb
1,0.88,0.34,0.49,913,test,grid_mnb
accuracy,,,0.75,2600,test,grid_mnb
macro avg,0.8,0.66,0.66,2600,test,grid_mnb
weighted avg,0.78,0.75,0.71,2600,test,grid_mnb
0,0.74,0.97,0.84,7541,train,complement_nb
1,0.86,0.34,0.49,3946,train,complement_nb
accuracy,,,0.75,11487,train,complement_nb
macro avg,0.8,0.65,0.66,11487,train,complement_nb
weighted avg,0.78,0.75,0.72,11487,train,complement_nb
0,0.7,0.97,0.82,2075,validation,complement_nb
1,0.85,0.28,0.42,1182,validation,complement_nb
accuracy,,,0.72,3257,validation,complement_nb
macro avg,0.78,0.63,0.62,3257,validation,complement_nb
weighted avg,0.76,0.72,0.67,3257,validation,complement_nb
0,0.69,0.98,0.81,1687,test,complement_nb
1,0.86,0.18,0.29,913,test,complement_nb
accuracy,,,0.7,2600,test,complement_nb
macro avg,0.77,0.58,0.55,2600,test,complement_nb
weighted avg,0.75,0.7,0.63,2600,test,complement_nb
0,1.0,1.0,1.0,7541,train,random_forest
1,1.0,1.0,1.0,3946,train,random_forest
accuracy,,,1.0,11487,train,random_forest
macro avg,1.0,1.0,1.0,11487,train,random_forest
weighted avg,1.0,1.0,1.0,11487,train,random_forest
0,0.87,0.94,0.91,2075,validation,random_forest
1,0.89,0.76,0.82,1182,validation,random_forest
accuracy,,,0.88,3257,validation,random_forest
macro avg,0.88,0.85,0.86,3257,validation,random_forest
weighted avg,0.88,0.88,0.87,3257,validation,random_forest
0,0.86,0.96,0.91,1687,test,random_forest
1,0.91,0.71,0.8,913,test,random_forest
accuracy,,,0.87,2600,test,random_forest
macro avg,0.89,0.84,0.85,2600,test,random_forest
weighted avg,0.88,0.87,0.87,2600,test,random_forest
0,0.97,0.99,0.98,7541,train,svm
1,0.99,0.93,0.96,3946,train,svm
accuracy,,,0.97,11487,train,svm
macro avg,0.98,0.96,0.97,11487,train,svm
weighted avg,0.97,0.97,0.97,11487,train,svm
0,0.84,0.95,0.89,2075,validation,svm
1,0.88,0.67,0.76,1182,validation,svm
accuracy,,,0.85,3257,validation,svm
macro avg,0.86,0.81,0.83,3257,validation,svm
weighted avg,0.85,0.85,0.84,3257,validation,svm
0,0.84,0.95,0.89,1687,test,svm
1,0.89,0.66,0.76,913,test,svm
accuracy,,,0.85,2600,test,svm
macro avg,0.86,0.81,0.83,2600,test,svm
weighted avg,0.86,0.85,0.85,2600,test,svm
